Location,Variable,Value,Expected Value
equation_selection,Use_DNDF_IV,0,"int (0, 1 or 2)"
equation_selection,DMIn_eqn,0,int (0-17)
equation_selection,mProd_eqn,1,int
equation_selection,MiN_eqn,1,"int (1, 2 or 3)"
equation_selection,NonMilkCP_ClfLiq,0,"0 for no non milk protein sorce, 1 for non milk protein"
equation_selection,Monensin_eqn,0,"int Is Monensin in diet? 0=No, 1=Yes"
equation_selection,mPrt_eqn,0,"int 0 for NRC, 1 for VT1, 2 for VT2"
equation_selection,mFat_eqn,1,"Milk Fat prediction equation (0 = use Trg_MilkFatp, 1 = use predicted milk fat production)"
equation_selection,RumDevDisc_Clf,0,0=No dry feed discount for ME due to undeveloped rumen. 1=a 10% discount on dry feed if Liq>1.5% of BW
user_diet,"Rumen Protected Val",0.10947399999999999,float
user_diet,"Poultry byproduct meal",0.6568948,float
user_diet,"Bakery byproduct, bread waste",0.8758682,float
user_diet,"Citrus pulp, wet",0.6568948,float
user_diet,"Barley grain, dry, ground",2.1896577999999995,float
user_diet,"Corn grain HM, coarse grind",3.9413688,float
user_diet,"Sorghum grain, dry, ground",3.2844739999999994,float
user_diet,"Fat, flaxseed oil",0.8758682,float
user_diet,"Calcium soaps",0.21897339999999998,float
user_diet,"Rice silage, vegetative",1.9706844,float
user_diet,"Sugarcane bagasse silage",2.6275792,float
user_diet,"Legume hay, mid-maturity",3.5034473999999998,float
user_diet,"Cottonseed, whole",0.8758682,float
user_diet,"Soybeans, whole raw",2.1896577999999995,float
user_diet,"VitTM Premix, generic",0.43792139999999996,float
user_diet,"Zinc chloride",0.21897339999999998,float
user_diet,"Sodium bicarbonate",0.21897339999999998,float
user_diet,"Potassium iodide",0.21897339999999998,float
user_diet,"Bone meal",0.3284474,float
animal_input,An_Parity_rl,1.51,int
animal_input,Trg_MilkProd,29.0,float
animal_input,An_BW,594.0,float
animal_input,An_BCS,2.5,float
animal_input,An_LactDay,107,int
animal_input,Trg_MilkFatp,4.5,float
animal_input,Trg_MilkTPp,3.4,float
animal_input,Trg_MilkLacp,4.85,float
animal_input,Trg_Dt_DMIn,25.4,float aka. Trg_Dt_DMIn
animal_input,An_BW_mature,600,float
animal_input,Trg_FrmGain,0.02,float
animal_input,An_GestDay,40,int
animal_input,An_GestLength,280,int
animal_input,Trg_RsrvGain,-0.04,float
animal_input,Fet_BWbrth,37.8,float
animal_input,An_AgeDay,2249.6,int
animal_input,An_305RHA_MlkTP,280,float
animal_input,An_StatePhys,Lactating Cow,str
animal_input,An_Breed,Guernsey,str (Holstein or Jersey)
animal_input,An_AgeDryFdStart,14,Day starter feed is first offered
animal_input,Env_TempCurr,22,current mean daily temperature in degrees C
animal_input,Env_DistParlor,0,distance from the barn or paddock to the parlor in meters
animal_input,Env_TripsParlor,0,number of daily trips to and from the parlor; generally 2 trips per milking times number of milkings
animal_input,Env_Topo,0,the positive elevation change per day in meters
