Location,Variable,Value,Expected Value
equation_selection,Use_DNDF_IV,0,"int (0, 1 or 2)"
equation_selection,DMIn_eqn,0,int (0-17)
equation_selection,mProd_eqn,1,"int (0=Trg_MilkProd, 1=component based predicted, 2=NE Allowable, 3=MP Allowable, 4=min(NE,MPAllow)"
equation_selection,MiN_eqn,1,"int 1: NRC (2021), 2: Hanigan (2021), 3: White (2017)"
equation_selection,NonMilkCP_ClfLiq,0,"0 for no non milk protein sorce, 1 for non milk protein"
equation_selection,Monensin_eqn,1,"int Is Monensin in diet? 0=No, 1=Yes"
equation_selection,mPrt_eqn,0,"Milk protein prediction equation (0 = use Trg_MilkTPp, 1 = NRC predicted, 2 = VT1, 3 = VT2"
equation_selection,mFat_eqn,1,"Milk Fat prediction equation (0 = use Trg_MilkFatp, 1 = use predicted milk fat production)"
equation_selection,RumDevDisc_Clf,0,0=No dry feed discount for ME due to undeveloped rumen. 1=a 10% discount on dry feed if Liq>1.5% of BW
diet_info,"Blood meal, high dRUP",1.9999979999999997,float
diet_info,"Calcium carbonate",0.09999000000000001,float
diet_info,"Corn grain dry, fine grind",3.9999959999999994,float
diet_info,"Corn silage, typical",5.000006,float
diet_info,"Cottonseed, whole",1.0000099999999998,float
diet_info,"DDGS, low fat",1.9999979999999997,float
diet_info,"Fat, lard",0.499994,float
diet_info,"Grass lg mixt, leg., hay, immtr",0.499994,float
diet_info,"Legume silage, immature",3.9999959999999994,float
diet_info,"Magnesium oxide",0.09999000000000001,float
diet_info,"Rumen Protected Lys",0.09999000000000001,float
diet_info,"Rumen Protected Met",0.09999000000000001,float
diet_info,"Sodium chloride (salt)",0.09999000000000001,float
diet_info,"Soybean meal, expellers",1.0000099999999998,float
diet_info,"Soybean meal, solvent 48CP",1.0000099999999998,float
diet_info,"Vit A premix",0.09999000000000001,float
diet_info,"Vit D premix",0.09999000000000001,float
diet_info,"VitTM Premix, generic",0.09999000000000001,float
diet_info,"Zinc sulfate (H2O)",0.200002,float
animal_input,An_Parity_rl,2.0,int
animal_input,Trg_MilkProd,45.0,float
animal_input,An_BW,700.0,float
animal_input,An_BCS,3.0,float
animal_input,An_LactDay,15.0,int
animal_input,Trg_MilkFatp,4.0,float
animal_input,Trg_MilkTPp,3.0,float
animal_input,Trg_MilkLacp,4.85,float
animal_input,Trg_Dt_DMIn,22.0,float aka. Trg_Dt_DMIn
animal_input,An_BW_mature,700.0,float
animal_input,Trg_FrmGain,0.08,float
animal_input,An_GestDay,0.0,int
animal_input,An_GestLength,280.0,int
animal_input,Trg_RsrvGain,0.0,float
animal_input,Fet_BWbrth,44.1,float
animal_input,An_AgeDay,1641.6,int
animal_input,An_305RHA_MlkTP,480.0,float
animal_input,An_StatePhys,Lactating Cow,str
animal_input,An_Breed,Holstein,str (Holstein or Jersey)
animal_input,An_AgeDryFdStart,14.0,Day starter feed is first offered
animal_input,Env_TempCurr,22.0,current mean daily temperature in degrees C
animal_input,Env_DistParlor,0.0,distance from the barn or paddock to the parlor in meters
animal_input,Env_TripsParlor,0.0,number of daily trips to and from the parlor; generally 2 trips per milking times number of milkings
animal_input,Env_Topo,0.0,the positive elevation change per day in meters
